trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1359,SELL,res1,2025-08-26T11:40:00,24145.95,24070.95,2025-08-26T12:14:00,24193.45,STOP_LOSS,-47.5,34.0,2025-08-26,2025-08-26,11:40,12:14
1360,BUY,res1,2025-08-26T12:14:00,24192.45,24267.45,2025-08-26T16:03:00,24266.45,TARGET,74.0,229.0,2025-08-26,2025-08-26,12:14,16:03
1361,SELL,res1,2025-08-27T09:00:00,24194.9,24119.9,2025-08-27T09:24:00,24119.85,TARGET,75.05,24.0,2025-08-27,2025-08-27,09:00,09:24
1362,SELL,res1,2025-08-27T12:22:00,24126.65,24051.65,2025-08-27T13:16:00,24150.85,STOP_LOSS,-24.2,54.0,2025-08-27,2025-08-27,12:22,13:16
1363,BUY,res1,2025-08-27T13:16:00,24148.35,24223.35,2025-08-27T13:26:00,24138.85,STOP_LOSS,-9.5,10.0,2025-08-27,2025-08-27,13:16,13:26
1364,BUY,res1,2025-08-27T13:31:00,24150.85,24225.85,2025-08-27T13:41:00,24139.35,STOP_LOSS,-11.5,10.0,2025-08-27,2025-08-27,13:31,13:41
1365,SELL,res1,2025-08-27T13:45:00,24127.35,24052.35,2025-08-27T14:55:00,24057.35,TARGET,70.0,70.0,2025-08-27,2025-08-27,13:45,14:55
1366,BUY,sup1,2025-08-27T16:20:00,24060.35,24135.35,2025-08-27T16:27:00,24043.85,STOP_LOSS,-16.5,7.0,2025-08-27,2025-08-27,16:20,16:27
1367,SELL,res1,2025-08-27T16:27:00,24046.35,23971.35,2025-08-27T16:30:00,24034.85,FORCE_EXIT,11.5,3.0,2025-08-27,2025-08-27,16:27,16:30
1368,SELL,res1,2025-08-28T09:45:00,24135.05,24060.05,2025-08-28T11:44:00,24058.25,TARGET,76.8,119.0,2025-08-28,2025-08-28,09:45,11:44
1369,SELL,sup1,2025-08-28T12:22:00,24029.05,23954.05,2025-08-28T14:00:00,24051.25,STOP_LOSS,-22.2,98.0,2025-08-28,2025-08-28,12:22,14:00
1370,BUY,sup1,2025-08-28T14:00:00,24045.55,24120.55,2025-08-28T16:30:00,24087.25,FORCE_EXIT,41.7,150.0,2025-08-28,2025-08-28,14:00,16:30
1371,BUY,sup1,2025-08-29T09:05:00,24003.65,24078.65,2025-08-29T09:41:00,23976.15,STOP_LOSS,-27.5,36.0,2025-08-29,2025-08-29,09:05,09:41
1372,SELL,sup1,2025-08-29T10:45:00,23900.65,23825.65,2025-08-29T13:48:00,24008.15,STOP_LOSS,-107.5,183.0,2025-08-29,2025-08-29,10:45,13:48
1373,BUY,res1,2025-08-29T13:48:00,24004.45,24079.45,2025-08-29T16:05:00,23953.65,STOP_LOSS,-50.8,137.0,2025-08-29,2025-08-29,13:48,16:05
1374,SELL,sup1,2025-08-29T16:11:00,23946.65,23871.65,2025-08-29T16:30:00,23952.65,FORCE_EXIT,-6.0,19.0,2025-08-29,2025-08-29,16:11,16:30
1375,SELL,res1,2025-09-01T10:17:00,24014.65,23939.65,2025-09-01T16:30:00,24007.95,FORCE_EXIT,6.7,373.0,2025-09-01,2025-09-01,10:17,16:30
1376,SELL,sup1,2025-09-02T09:10:00,23923.35,23848.35,2025-09-02T09:14:00,23837.85,TARGET,85.5,4.0,2025-09-02,2025-09-02,09:10,09:14
1377,BUY,sup1,2025-09-02T11:40:00,23780.35,23855.35,2025-09-02T12:15:00,23750.85,STOP_LOSS,-29.5,35.0,2025-09-02,2025-09-02,11:40,12:15
1378,SELL,sup1,2025-09-02T12:28:00,23734.35,23659.35,2025-09-02T14:07:00,23658.35,TARGET,76.0,99.0,2025-09-02,2025-09-02,12:28,14:07
1379,SELL,sup1,2025-09-02T14:17:00,23635.35,23560.35,2025-09-02T14:40:00,23565.35,TARGET,70.0,23.0,2025-09-02,2025-09-02,14:17,14:40
1380,SELL,sup1,2025-09-03T09:20:00,23534.25,23459.25,2025-09-03T10:09:00,23614.75,STOP_LOSS,-80.5,49.0,2025-09-03,2025-09-03,09:20,10:09
1381,BUY,sup1,2025-09-03T10:09:00,23600.75,23675.75,2025-09-03T12:04:00,23678.75,TARGET,78.0,115.0,2025-09-03,2025-09-03,10:09,12:04
1382,SELL,sup1,2025-09-03T14:35:00,23641.45,23566.45,2025-09-03T15:42:00,23561.75,TARGET,79.7,67.0,2025-09-03,2025-09-03,14:35,15:42
1383,SELL,res1,2025-09-04T09:20:00,23636.65,23561.65,2025-09-04T09:34:00,23670.15,STOP_LOSS,-33.5,14.0,2025-09-04,2025-09-04,09:20,09:34
1384,BUY,res1,2025-09-04T09:38:00,23671.35,23746.35,2025-09-04T12:14:00,23788.15,TARGET,116.8,156.0,2025-09-04,2025-09-04,09:38,12:14
1385,SELL,res1,2025-09-04T13:50:00,23761.65,23686.65,2025-09-04T16:30:00,23771.65,FORCE_EXIT,-10.0,160.0,2025-09-04,2025-09-04,13:50,16:30
1386,BUY,sup1,2025-09-05T09:00:00,23871.0,23946.0,2025-09-05T15:52:00,23727.55,STOP_LOSS,-143.45,412.0,2025-09-05,2025-09-05,09:00,15:52
1387,SELL,res1,2025-09-05T15:52:00,23755.05,23680.05,2025-09-05T16:01:00,23672.55,TARGET,82.5,9.0,2025-09-05,2025-09-05,15:52,16:01
1388,BUY,res1,2025-09-08T11:25:00,23766.35,23841.35,2025-09-08T12:46:00,23737.85,STOP_LOSS,-28.5,81.0,2025-09-08,2025-09-08,11:25,12:46
1389,SELL,res1,2025-09-08T12:46:00,23750.85,23675.85,2025-09-08T14:04:00,23678.85,TARGET,72.0,78.0,2025-09-08,2025-09-08,12:46,14:04
1390,BUY,res1,2025-09-08T15:36:00,23736.35,23811.35,2025-09-08T16:30:00,23756.85,FORCE_EXIT,20.5,54.0,2025-09-08,2025-09-08,15:36,16:30
1391,BUY,sup1,2025-09-09T10:20:00,23737.45,23812.45,2025-09-09T10:27:00,23722.75,STOP_LOSS,-14.7,7.0,2025-09-09,2025-09-09,10:20,10:27
1392,SELL,sup1,2025-09-09T10:45:00,23704.75,23629.75,2025-09-09T12:05:00,23743.25,STOP_LOSS,-38.5,80.0,2025-09-09,2025-09-09,10:45,12:05
1393,SELL,res1,2025-09-09T14:41:00,23731.75,23656.75,2025-09-09T15:04:00,23649.75,TARGET,82.0,23.0,2025-09-09,2025-09-09,14:41,15:04
1394,SELL,sup1,2025-09-09T15:15:00,23657.25,23582.25,2025-09-09T15:36:00,23690.25,STOP_LOSS,-33.0,21.0,2025-09-09,2025-09-09,15:15,15:36
1395,BUY,sup1,2025-09-09T15:36:00,23677.75,23752.75,2025-09-09T16:00:00,23660.25,STOP_LOSS,-17.5,24.0,2025-09-09,2025-09-09,15:36,16:00
1396,BUY,res1,2025-09-10T12:43:00,23769.35,23844.35,2025-09-10T13:06:00,23755.85,STOP_LOSS,-13.5,23.0,2025-09-10,2025-09-10,12:43,13:06
1397,SELL,res1,2025-09-10T13:21:00,23759.05,23684.05,2025-09-10T14:48:00,23775.55,STOP_LOSS,-16.5,87.0,2025-09-10,2025-09-10,13:21,14:48
1398,SELL,res1,2025-09-10T14:55:00,23753.05,23678.05,2025-09-10T15:44:00,23683.35,TARGET,69.7,49.0,2025-09-10,2025-09-10,14:55,15:44
1399,SELL,res1,2025-09-11T10:40:00,23619.45,23544.45,2025-09-11T12:21:00,23671.75,STOP_LOSS,-52.3,101.0,2025-09-11,2025-09-11,10:40,12:21
1400,BUY,res1,2025-09-11T12:21:00,23663.95,23738.95,2025-09-11T15:47:00,23737.45,TARGET,73.5,206.0,2025-09-11,2025-09-11,12:21,15:47
1401,BUY,res1,2025-09-11T15:53:00,23742.95,23817.95,2025-09-11T16:14:00,23713.45,STOP_LOSS,-29.5,21.0,2025-09-11,2025-09-11,15:53,16:14
1402,SELL,res1,2025-09-11T16:16:00,23714.75,23639.75,2025-09-11T16:30:00,23694.95,FORCE_EXIT,19.8,14.0,2025-09-11,2025-09-11,16:16,16:30
1403,BUY,res1,2025-09-12T09:00:00,23742.9,23817.9,2025-09-12T09:43:00,23695.35,STOP_LOSS,-47.55,43.0,2025-09-12,2025-09-12,09:00,09:43
1404,SELL,res1,2025-09-12T09:43:00,23721.35,23646.35,2025-09-12T10:07:00,23643.35,TARGET,78.0,24.0,2025-09-12,2025-09-12,09:43,10:07
1405,BUY,sup1,2025-09-12T12:26:00,23633.85,23708.85,2025-09-12T15:30:00,23696.65,TARGET,62.8,184.0,2025-09-12,2025-09-12,12:26,15:30
1406,BUY,res1,2025-09-15T09:58:00,23811.95,23886.95,2025-09-15T11:10:00,23773.25,STOP_LOSS,-38.7,72.0,2025-09-15,2025-09-15,09:58,11:10
1407,SELL,res1,2025-09-15T14:12:00,23836.75,23761.75,2025-09-15T15:00:00,23769.75,TARGET,67.0,48.0,2025-09-15,2025-09-15,14:12,15:00
1408,SELL,sup1,2025-09-15T15:17:00,23737.25,23662.25,2025-09-15T16:21:00,23756.75,STOP_LOSS,-19.5,64.0,2025-09-15,2025-09-15,15:17,16:21
1409,BUY,sup1,2025-09-15T16:21:00,23752.95,23827.95,2025-09-15T16:30:00,23771.75,FORCE_EXIT,18.8,9.0,2025-09-15,2025-09-15,16:21,16:30
