trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
183,SELL,res1,2024-07-04T16:30:00,18419.85,18294.85,2024-07-04T16:30:00,18417.55,FORCE_EXIT,2.3,0.0,2024-07-04,2024-07-04,16:30,16:30
184,SELL,res1,2024-07-05T15:01:00,18604.45,18479.45,2024-07-05T15:52:00,18482.25,TARGET,122.2,51.0,2024-07-05,2024-07-05,15:01,15:52
185,SELL,res1,2024-07-08T12:01:00,18563.05,18438.05,2024-07-08T16:30:00,18496.15,FORCE_EXIT,66.9,269.0,2024-07-08,2024-07-08,12:01,16:30
186,BUY,sup1,2024-07-09T13:52:00,18390.05,18515.05,2024-07-09T14:16:00,18362.45,STOP_LOSS,-27.6,24.0,2024-07-09,2024-07-09,13:52,14:16
187,SELL,sup1,2024-07-09T14:31:00,18305.55,18180.55,2024-07-09T16:30:00,18237.55,FORCE_EXIT,68.0,119.0,2024-07-09,2024-07-09,14:31,16:30
188,BUY,res1,2024-07-10T16:01:00,18384.15,18509.15,2024-07-10T16:22:00,18369.05,STOP_LOSS,-15.1,21.0,2024-07-10,2024-07-10,16:01,16:22
189,BUY,res1,2024-07-11T09:00:00,18498.05,18623.05,2024-07-11T09:10:00,18436.05,STOP_LOSS,-62.0,10.0,2024-07-11,2024-07-11,09:00,09:10
190,BUY,res1,2024-07-11T14:30:00,18491.7,18616.7,2024-07-11T14:59:00,18447.75,STOP_LOSS,-43.95,29.0,2024-07-11,2024-07-11,14:30,14:59
191,BUY,res1,2024-07-11T15:16:00,18491.05,18616.05,2024-07-11T16:30:00,18539.75,FORCE_EXIT,48.7,74.0,2024-07-11,2024-07-11,15:16,16:30
192,BUY,sup1,2024-07-12T14:48:00,18579.95,18704.95,2024-07-12T16:14:00,18713.45,TARGET,133.5,86.0,2024-07-12,2024-07-12,14:48,16:14
193,SELL,res1,2024-07-15T11:46:00,18718.95,18593.95,2024-07-15T15:34:00,18592.45,TARGET,126.5,228.0,2024-07-15,2024-07-15,11:46,15:34
194,SELL,res1,2024-07-16T15:00:00,18483.55,18358.55,2024-07-16T16:30:00,18509.55,FORCE_EXIT,-26.0,90.0,2024-07-16,2024-07-16,15:00,16:30
195,SELL,res1,2024-07-17T10:10:00,18478.65,18353.65,2024-07-17T13:18:00,18350.65,TARGET,128.0,188.0,2024-07-17,2024-07-17,10:10,13:18
196,SELL,sup1,2024-07-17T14:57:00,18423.65,18248.65,2024-07-17T15:50:00,18486.65,STOP_LOSS,-63.0,53.0,2024-07-17,2024-07-17,14:57,15:50
197,SELL,res1,2024-07-17T16:05:00,18471.65,18296.65,2024-07-17T16:30:00,18478.65,FORCE_EXIT,-7.0,25.0,2024-07-17,2024-07-17,16:05,16:30
198,SELL,res1,2024-07-18T09:25:00,18437.65,18312.65,2024-07-18T14:55:00,18498.15,STOP_LOSS,-60.5,330.0,2024-07-18,2024-07-18,09:25,14:55
199,BUY,res1,2024-07-18T15:30:00,18503.65,18628.65,2024-07-18T16:30:00,18454.65,FORCE_EXIT,-49.0,60.0,2024-07-18,2024-07-18,15:30,16:30
200,BUY,res1,2024-07-22T10:01:00,18263.95,18388.95,2024-07-22T11:34:00,18392.95,TARGET,129.0,93.0,2024-07-22,2024-07-22,10:01,11:34
201,SELL,sup1,2024-07-24T10:02:00,18373.05,18248.05,2024-07-24T11:58:00,18412.05,STOP_LOSS,-39.0,116.0,2024-07-24,2024-07-24,10:02,11:58
202,BUY,sup1,2024-07-24T11:58:00,18412.05,18537.05,2024-07-24T14:53:00,18386.05,STOP_LOSS,-26.0,175.0,2024-07-24,2024-07-24,11:58,14:53
203,SELL,res1,2024-07-24T15:53:00,18397.55,18272.55,2024-07-24T16:30:00,18434.05,FORCE_EXIT,-36.5,37.0,2024-07-24,2024-07-24,15:53,16:30
