trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
368,SELL,sup1,2024-07-01 11:16:00,18290.85,18215.85,2024-07-01 13:57:00,18316.35,STOP_LOSS,-25.5,161.0,2024-07-01,2024-07-01,11:16,13:57
369,BUY,res1,2024-07-01 13:58:00,18317.25,18392.25,2024-07-01 16:30:00,18324.85,FORCE_EXIT,7.599999999998545,152.0,2024-07-01,2024-07-01,13:58,16:30
370,SELL,res1,2024-07-02 09:01:00,18231.85,18156.85,2024-07-02 09:27:00,18150.65,TARGET,81.19999999999709,26.0,2024-07-02,2024-07-02,09:01,09:27
371,SELL,res1,2024-07-02 11:07:00,18142.95,18067.95,2024-07-02 13:13:00,18067.25,TARGET,75.70000000000073,126.0,2024-07-02,2024-07-02,11:07,13:13
372,SELL,sup1,2024-07-02 14:52:00,18035.45,17960.45,2024-07-02 15:00:00,18081.25,STOP_LOSS,-45.79999999999927,8.0,2024-07-02,2024-07-02,14:52,15:00
373,BUY,sup1,2024-07-02 15:01:00,18081.75,18156.75,2024-07-02 16:28:00,18156.85,TARGET,75.09999999999854,87.0,2024-07-02,2024-07-02,15:01,16:28
374,BUY,res1,2024-07-03 11:12:00,18300.55,18375.55,2024-07-03 16:30:00,18335.65,FORCE_EXIT,35.10000000000218,318.0,2024-07-03,2024-07-03,11:12,16:30
375,SELL,res1,2024-07-04 11:53:00,18437.45,18362.45,2024-07-04 16:30:00,18417.55,FORCE_EXIT,19.900000000001455,277.0,2024-07-04,2024-07-04,11:53,16:30
376,BUY,res1,2024-07-05 09:01:00,18513.75,18588.75,2024-07-05 09:45:00,18590.65,TARGET,76.90000000000146,44.0,2024-07-05,2024-07-05,09:01,09:45
377,SELL,res1,2024-07-05 12:06:00,18614.65,18539.65,2024-07-05 15:45:00,18533.05,TARGET,81.60000000000218,219.0,2024-07-05,2024-07-05,12:06,15:45
378,SELL,res1,2024-07-08 11:06:00,18554.45,18479.45,2024-07-08 16:30:00,18496.15,FORCE_EXIT,58.29999999999927,324.0,2024-07-08,2024-07-08,11:06,16:30
379,SELL,sup1,2024-07-09 12:41:00,18411.15,18336.15,2024-07-09 14:23:00,18333.55,TARGET,77.60000000000218,102.0,2024-07-09,2024-07-09,12:41,14:23
380,SELL,sup1,2024-07-09 16:26:00,18251.85,18176.85,2024-07-09 16:30:00,18237.55,FORCE_EXIT,14.299999999999272,4.0,2024-07-09,2024-07-09,16:26,16:30
381,SELL,sup1,2024-07-10 09:17:00,18251.95,18176.95,2024-07-10 10:07:00,18289.85,STOP_LOSS,-37.89999999999782,50.0,2024-07-10,2024-07-10,09:17,10:07
382,BUY,res1,2024-07-10 10:37:00,18312.15,18387.15,2024-07-10 16:01:00,18390.45,TARGET,78.29999999999927,324.0,2024-07-10,2024-07-10,10:37,16:01
383,SELL,res1,2024-07-11 11:08:00,18444.65,18369.65,2024-07-11 14:31:00,18518.75,STOP_LOSS,-74.09999999999854,203.0,2024-07-11,2024-07-11,11:08,14:31
384,BUY,res1,2024-07-11 14:32:00,18517.35,18592.35,2024-07-11 16:30:00,18539.75,FORCE_EXIT,22.400000000001455,118.0,2024-07-11,2024-07-11,14:32,16:30
385,BUY,res1,2024-07-12 10:26:00,18599.85,18674.85,2024-07-12 11:25:00,18556.15,STOP_LOSS,-43.69999999999709,59.0,2024-07-12,2024-07-12,10:26,11:25
386,BUY,res1,2024-07-12 12:37:00,18609.65,18684.65,2024-07-12 14:20:00,18591.75,STOP_LOSS,-17.900000000001455,103.0,2024-07-12,2024-07-12,12:37,14:20
387,SELL,res1,2024-07-12 14:21:00,18592.25,18517.25,2024-07-12 15:35:00,18632.45,STOP_LOSS,-40.20000000000073,74.0,2024-07-12,2024-07-12,14:21,15:35
388,BUY,res1,2024-07-12 15:36:00,18631.95,18706.95,2024-07-12 16:14:00,18713.45,TARGET,81.5,38.0,2024-07-12,2024-07-12,15:36,16:14
389,BUY,res1,2024-07-15 11:29:00,18729.95,18804.95,2024-07-15 11:46:00,18716.45,STOP_LOSS,-13.5,17.0,2024-07-15,2024-07-15,11:29,11:46
