trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
484,BUY,res1,2025-06-24T11:00:00,23755.65,23830.65,2025-06-24T12:30:00,23694.65,STOP_LOSS,-61.0,90.0
485,BUY,sup1,2025-06-24T12:55:00,23727.15,23802.15,2025-06-25T10:30:00,23582.85,STOP_LOSS,-144.3000000000029,1295.0
486,BUY,sup1,2025-06-25T13:30:00,23537.55,23612.55,2025-06-25T16:00:00,23504.55,STOP_LOSS,-33.0,150.0
487,BUY,res1,2025-06-26T10:10:00,23649.25,23724.25,2025-06-26T13:45:00,23596.45,STOP_LOSS,-52.79999999999927,215.0
488,BUY,sup1,2025-06-26T16:30:00,23596.95,23671.95,2025-06-27T09:00:00,23843.9,TARGET,246.95000000000073,990.0
489,BUY,sup1,2025-06-27T13:20:00,23795.85,23870.85,2025-06-27T15:55:00,23886.85,TARGET,91.0,155.0
490,BUY,sup1,2025-06-30T12:50:00,23984.55,24059.55,2025-06-30T14:50:00,23970.05,STOP_LOSS,-14.5,120.0
491,BUY,sup1,2025-07-01T14:05:00,23788.45,23863.45,2025-07-01T14:20:00,23755.45,STOP_LOSS,-33.0,15.0
492,BUY,sup1,2025-07-01T15:40:00,23738.75,23813.75,2025-07-02T09:05:00,23797.85,TARGET,59.099999999998545,1045.0
493,BUY,sup1,2025-07-02T09:25:00,23753.15,23828.15,2025-07-02T14:20:00,23703.65,STOP_LOSS,-49.5,295.0
494,BUY,sup1,2025-07-03T14:30:00,23816.1,23891.1,2025-07-03T14:30:00,23869.55,TARGET,53.45000000000073,0.0
495,BUY,sup1,2025-07-04T13:00:00,23740.65,23815.65,2025-07-04T15:45:00,23822.65,TARGET,82.0,165.0
496,BUY,res1,2025-07-07T11:10:00,23884.65,23959.65,2025-07-07T12:55:00,23954.85,TARGET,70.19999999999709,105.0
497,BUY,sup1,2025-07-07T15:20:00,23963.85,24038.85,2025-07-07T16:00:00,24038.35,TARGET,74.5,40.0
498,BUY,res1,2025-07-08T11:45:00,24138.75,24213.75,2025-07-08T13:55:00,24107.75,STOP_LOSS,-31.0,130.0
